
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     26    36.39      50.27       0.23     612   1 AccountsControlHost
     10     2.53       8.43       0.00    6564   0 AggregatorHost
     24    14.89      35.01       1.30    1400   1 ApplicationFrameHost
     17    17.18      28.36       5.22   17076   0 audiodg
     11     2.62      10.45       0.00   10636   1 backgroundTaskHost
     33    17.83       1.78       0.09   12336   1 backgroundTaskHost
     11     2.75       1.85       0.00   19884   1 backgroundTaskHost
     10     2.21       6.66       0.00    3956   0 bcmHostControlService
     11     2.11       6.85       0.00    3960   0 bcmHostStorageService
     11    35.45       8.85       0.00    2528   0 bcmUshUpgradeService
     10     2.22       7.41       0.05    2112   1 chrome
     22    21.33      58.86       1.95    2156   1 chrome
     19    19.13      31.05       0.05    5100   1 chrome
     29   107.08     168.10       9.80    7008   1 chrome
     16    11.68      20.16       0.52    8048   1 chrome
     22    30.38      53.65       0.33   10156   1 chrome
     18     7.87      20.09       8.83   10672   1 chrome
     46   280.80     224.25      72.59   12260   1 chrome
     24    42.22      74.91       2.02   14868   1 chrome
     40   426.73     469.57     222.12   15544   1 chrome
     43   324.06     292.16      67.55   15596   1 chrome
     22    20.89      45.70       0.16   17456   1 chrome
     32   202.11     206.92     100.77   19752   1 chrome
     76   133.48     235.85     525.02   19976   1 chrome
     22    22.49      46.76       0.17   23140   1 chrome
     43   237.07     260.77      21.39   23900   1 chrome
     58    29.32      56.11      18.14   24216   1 chrome
     29    70.75     120.16       1.53   24944   1 chrome
     30    91.30     107.39       5.00   25356   1 chrome
     36    60.16      62.25       0.12   21076   1 CHXSmartScreen
      5     1.94       3.85       0.02   17024   1 cmd
     17   111.46     133.74       5.00    2776   1 Code
     17    24.14      91.33       0.27    5524   1 Code
     17    27.52      95.15       0.22    8392   1 Code
     30   199.95     191.55      32.98    9840   1 Code
     33   192.15     223.72      15.59    9972   1 Code
     26   261.05     298.32       7.83   10320   1 Code
     20    62.46      98.77       0.31   11224   1 Code
     12    14.22      27.07       0.00   11468   1 Code
     16    24.12      91.39       0.28   14728   1 Code
     20    62.69      98.93       0.27   15948   1 Code
     21    97.93     112.73      17.86   16992   1 Code
     54   104.11     123.12      24.95   17196   1 Code
     18    16.27      38.85       1.11   17760   1 Code
     38   118.22     123.54       2.61   18000   1 Code
     34   153.81     191.31       6.83   18056   1 Code
     17    25.04      92.61       0.20   18288   1 Code
     38   236.00     275.06      21.67   19188   1 Code
     17    76.38     111.50       2.34   23740   1 Code
     46   140.18      68.17      50.39   23948   1 com.docker.backend
     14    30.05      26.12       4.44   19608   1 com.docker.build
     13    21.43      12.47       1.09    2672   1 com.docker.dev-envs
     19    33.80      27.30       4.53   14312   1 com.docker.extensions
     10     5.80       8.60       0.09    4956   1 conhost
     10     5.80       8.64       0.02    5404   1 conhost
      9     1.36       6.90       0.00    9548   1 conhost
      9     1.38       6.89       0.02   12728   1 conhost
     10     5.80       8.67       0.06   13172   1 conhost
     10     5.79       8.65       0.03   14188   1 conhost
      8     5.25       6.47       0.02   14264   1 conhost
      9     1.30       6.85       0.02   14756   1 conhost
     10     5.74       8.62       0.06   15628   1 conhost
      8     5.31       6.42       0.08   19324   1 conhost
      8     5.27      10.75       0.03   20852   1 conhost
     10     5.77       8.64       0.14   20900   1 conhost
      8     1.30       8.20       0.00   21604   1 conhost
     10     5.66       8.68       0.02   21856   1 conhost
      8     5.25      10.73       0.02   22656   1 conhost
      9     1.30       6.80       0.30   25092   1 conhost
     28     2.32       4.84       0.00     844   0 csrss
     41     3.38       6.90       0.00     940   1 csrss
     21    14.40      30.50     238.70   10628   1 ctfmon
     21     7.80      17.64       0.00    4412   0 dasHost
      6     0.86       4.55       0.00   11080   0 dasHost
     35    11.11      21.15       6.25    8500   1 dllhost
     18     2.86       8.82       0.05    8732   1 dllhost
      8     1.30       6.73       0.02   15576   1 dllhost
     17     2.48       7.93       0.16   16164   1 dllhost
     11    26.16      22.63       2.86   22664   1 docker
     13    11.19     164.14       0.05   15248   1 Docker Desktop
     15    14.52     166.11       0.44   19400   1 Docker Desktop
     25    98.59     185.59       3.36   20856   1 Docker Desktop
     52    75.33      66.62      23.03   22116   1 Docker Desktop
     34    86.22     200.53      15.72   24012   1 Docker Desktop
      9     1.63       5.80     227.97    1840   1 dptf_helper
     85   250.77     180.37       0.00    2508   1 dwm
      9     1.93       7.65       0.00    4276   0 esif_uf
    106   213.76     268.46       8.70    6716   1 explorer
      9     3.86       8.57       0.00    1212   1 fontdrvhost
      7     1.60       3.45       0.00    1216   0 fontdrvhost
     39    39.36      54.47       0.59   20164   1 GameBar
     14     2.89      13.78       0.20    1424   1 GameBarFTServer
     33    40.50      56.03       0.08   14908   1 HxAccounts
     39    45.41       2.05       0.08   22984   1 HxOutlook
     26     8.69      32.96       0.11   12308   1 HxTsr
      0     0.06       0.01       0.00       0   0 Idle
     11     2.56       8.97       0.00    2208   0 igfxCUIServiceN
     15     4.32      13.82       3.58    1792   1 igfxEMN
     53    36.21      29.00       0.00    4252   0 IntelAudioService
      8     1.38       5.49       0.00    1872   0 IntelCpHDCPSvc
      9     1.36       6.05       0.00    4328   0 jhi_service
     37    61.54      73.57      37.92   16984   1 LockApp
     22     2.16       3.71       0.00     920   0 LsaIso
     34    15.11      31.29       0.00    1040   0 lsass
      0     4.70     329.71       0.00    3068   0 Memory Compression
     95   124.99      88.11       2.17   15992   1 Microsoft.AAD.BrokerPlugin
     34    37.52      43.02       3.95    3348   1 Microsoft.SharePoint
     25   359.57      40.72       0.00    4416   0 mongod
     21    66.27      54.91       0.00    3496   0 MoUsoCoreWorker
     18    12.91      20.40       0.00    4368   0 MpDefenderCoreService
     43    24.07      24.55      14.44   11092   1 ms-teams
     16     7.98      21.24       0.03    2824   1 msedge
     63    63.97     134.98      15.56   10656   1 msedge
     30    91.62      72.66      10.11   17576   1 msedge
     10     2.15       8.08       0.02   19440   1 msedge
     22    54.94      53.59       3.41   19484   1 msedge
     17    13.79      22.05       0.06   19576   1 msedge
     12     7.51      16.32       0.09   21844   1 msedge
     21    12.65      34.30       0.53   24728   1 msedge
     20    20.05      42.47       0.30   24972   1 msedge
     14     7.13      17.44       0.19   25168   1 msedge
     34   180.43       4.66      60.05    6912   1 msedgewebview2
     28   213.29     126.43       9.22    8216   1 msedgewebview2
     14     7.11       1.43       0.22    8944   1 msedgewebview2
     12     7.46       5.25       0.12   11248   1 msedgewebview2
     52    34.24       1.92      19.02   15260   1 msedgewebview2
     10     2.15       7.58       0.03   16676   1 msedgewebview2
     21    10.48      18.67       1.42   16808   1 msedgewebview2
     10     2.12       7.57       0.06   17028   1 msedgewebview2
     29   198.30       0.19     185.55   17648   1 msedgewebview2
     27    69.31      15.39       0.55   19696   1 msedgewebview2
     20    11.50       0.01       5.39   21284   1 msedgewebview2
     50    34.00      53.95       4.89   24476   1 msedgewebview2
     12     9.43       0.01       1.42   24696   1 msedgewebview2
    230   411.12     320.20       0.00    4584   0 MsMpEng
     35    53.25      31.16       9.25   12732   1 msrdc
     35    52.32      30.98       8.94   16672   1 msrdc
     20     6.88      11.85       0.00    6612   0 NisSrv
     33    23.40      32.69       0.00    4184   0 OneApp.IGCC.WinService
     53    77.73      94.55       5.56   17468   1 OneDrive
     14     2.82      14.38       0.03   19512   1 OpenConsole
    110    78.99     139.09       3.69   18864   1 PhoneExperienceHost
     83    41.70     112.35       1.20    8040   1 pwsh
     86    42.41     114.51       1.62   10604   1 pwsh
    149   147.88     261.18      12.69   19468   1 pwsh
     22    16.74      33.95       0.00     144   0 Registry
     15     3.78      14.14       0.61    2928   1 RtkAudUService64
     15     4.89      13.05       0.00    4484   0 RtkAudUService64
     16    13.92      16.30       0.00    6756   1 RtkAudUService64
     40    17.61      63.60     112.86    4164   1 RuntimeBroker
     24     7.78      30.43      87.83    6112   1 RuntimeBroker
     23     9.86      36.28      12.77    8584   1 RuntimeBroker
      8     1.31       6.88       0.09   11656   1 RuntimeBroker
     16    13.64      24.89       4.50   11684   1 RuntimeBroker
      9     1.97       9.66       0.14   12988   1 RuntimeBroker
      8     1.31       7.10       0.02   17232   1 RuntimeBroker
     25    16.01      34.64     134.17   18656   1 RuntimeBroker
      9     1.61       8.16       0.00   19228   1 RuntimeBroker
     10     2.09      10.40       0.80   20792   1 RuntimeBroker
     17     7.06      21.09      49.59   22456   1 RuntimeBroker
     17     4.06      19.75       1.23   23628   1 RuntimeBroker
     12     2.88      15.14       0.23   25560   1 RuntimeBroker
    125   182.82     118.75       5.06    7316   1 SearchHost
     52    55.39      61.74       0.00    3984   0 SearchIndexer
      0     0.18      40.03       0.00     108   0 Secure System
     23     8.60      18.33       0.00    6648   0 SecurityHealthService
     10     2.05      10.39       0.36    9180   1 SecurityHealthSystray
     19     7.16      18.64       0.00     668   0 services
     34    47.38      94.80       0.62   23468   1 ShellExperienceHost
     29   134.56     245.23       6.02    6940   1 Signal
     16    12.86      42.77       0.64   12276   1 Signal
     68   305.51      90.84      70.00   13516   1 Signal
     39   228.71     133.41      77.00   18880   1 Signal
     16    12.00     183.96       0.28   23976   1 Signal
     27    14.12      48.60     334.36    2384   1 sihost
      4     1.11       1.01       0.00     544   0 smss
     24     6.55      19.95       0.00    3932   0 spoolsv
     10     2.03       7.57       0.00    4472   0 sqlwriter
     44    76.60     122.27       1.97   24844   1 StartMenuExperienceHost
     31    42.99      60.44       0.00    1184   0 svchost
     24    20.03      25.06       0.00    1356   0 svchost
     14     3.10       7.86       0.00    1404   0 svchost
     10     1.18       4.89       0.00    1536   0 svchost
     13     2.68       8.95       0.00    1552   0 svchost
     35     9.13       8.41       0.00    1576   0 svchost
     12     1.88       7.93       0.00    1664   0 svchost
     14     3.31       9.78       0.00    1696   0 svchost
     16     3.49      13.62       0.00    1724   0 svchost
     12     2.66       8.90       0.00    1736   0 svchost
     10     2.44       9.31       0.00    1744   0 svchost
     23    20.59      18.87       0.00    1772   0 svchost
     13     3.45       8.97       0.00    1888   0 svchost
      9     1.59       5.33       0.00    1916   0 svchost
     10     2.14       7.64       0.00    1948   0 svchost
     22     5.64      19.27       0.00    1972   0 svchost
     16     6.68       9.65       0.00    1988   0 svchost
     12     3.01       7.73       0.00    2016   0 svchost
     24     8.62      13.23       0.00    2040   0 svchost
     19     8.48      29.06      21.84    2072   1 svchost
     19     4.11       9.06       0.00    2252   0 svchost
     10     2.12       7.11       0.00    2280   0 svchost
     27    45.64      25.77       0.00    2324   0 svchost
     12     3.26      12.40       0.00    2644   0 svchost
     15    17.19      17.75       0.00    2688   0 svchost
     14     3.94      12.11       0.00    2732   0 svchost
     21     8.66      24.62       0.00    2764   0 svchost
     11     2.47       9.91       0.00    2792   0 svchost
     19     3.54      12.52       0.00    2808   0 svchost
      8     1.45       5.53       0.00    2836   0 svchost
     23    11.54      35.45      59.19    2892   1 svchost
     15     3.50      17.73       3.48    2964   1 svchost
     14     2.13       9.19       0.00    2996   0 svchost
     11     2.02       8.36       0.00    3008   0 svchost
     22     6.53      15.59       0.00    3024   0 svchost
      8     2.87       7.01       0.00    3084   0 svchost
      8     1.29       6.00       0.00    3420   0 svchost
     13     2.58      10.16       0.00    3476   0 svchost
     12     1.95       7.92       0.00    3484   0 svchost
     13    37.67      23.66       0.00    3648   0 svchost
     15     3.83      14.20       0.00    3704   0 svchost
     17     3.97      15.14       0.00    3712   0 svchost
      9     1.50       6.64       0.00    3732   0 svchost
     11     2.21       9.15       0.00    3852   0 svchost
     15     3.07      12.58       0.00    3876   0 svchost
      9     1.53       6.64       0.00    4008   0 svchost
