"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AccountsControlHost","1","564","2203753119744","52707328","38162432","26552","C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy\AccountsControlHost.exe","""C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy\AccountsControlHost.exe"" -ServerName:App.AppX20qnn98vxw5bhxrjtb1f6rggecb2k15a.mca",,"Microsoft Corporation","0.234375","10.0.22621.3672 (WinBuild.160101.0800)","10.0.22621.3672","Accounts Control Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5060","8",,"False","9/3/2024 8:51:37 AM",,"612",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26552","26552","38162432","38162432","653536","653536","39841792","39841792","81338368","81338368","2203771621376","453398528","True","Normal","38162432","38162432","255","1",,"System.Diagnostics.ProcessThreadCollection","564","2203753119744","434896896","False",,,,"52707328","52707328",,"System.Diagnostics.ProcessModule (AccountsControlHost.exe)","00:00:00.0781250","00:00:00.2343750","00:00:00.1562500","AccountsControlHost","0","","True",,
"AggregatorHost","0","140","2203388616704","8818688","2596864","9512",,,,,,,,,,"Process",,,"8",,,,,"6564",".",,,,"9512","9512","2596864","2596864","79016","79016","2998272","2998272","10694656","10694656","2203412606976","94384128",,,"2596864","2596864",,"0",,"System.Diagnostics.ProcessThreadCollection","140","2203388616704","70393856","False",,,,"8818688","8818688",,,,,,"AggregatorHost","0","","True",,
"ApplicationFrameHost","1","532","2203626303488","32796672","15609856","24608","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","1.296875","10.0.22621.3810 (WinBuild.160101.0800)","10.0.22621.3810","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8052","8",,"False","8/26/2024 9:44:37 AM",,"1400",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24608","24608","15609856","15609856","431944","431944","26726400","26726400","43577344","43577344","2203645427712","327204864","True","Normal","15609856","15609856","255","1",,"System.Diagnostics.ProcessThreadCollection","532","2203626303488","308080640","False",,,,"32796672","32796672",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.6718750","00:00:01.2968750","00:00:00.6250000","ApplicationFrameHost","9308630","Mail","True",,
"audiodg","0","400","2203495825408","29368320","17784832","17072",,,,,"8.1875",,,,,"Process",,,"8",,,"9/11/2024 11:53:33 AM",,"21276",".",,,,"17072","17072","17784832","17784832","237688","237688","18038784","18038784","29437952","29437952","2203500036096","181813248",,,"17784832","17784832",,"0",,"System.Diagnostics.ProcessThreadCollection","400","2203495825408","177602560","False",,,,"29368320","29368320",,,"00:00:04.3750000","00:00:08.1875000","00:00:03.8125000","audiodg","0","","True",,
"backgroundTaskHost","1","314","2480968196096","1863680","18698240","33696","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6140","8",,"False","9/8/2024 2:16:29 AM",,"12336",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33696","33696","18698240","18698240","411064","411064","18698240","18698240","52338688","52338688","2480968196096","-1522900992","True","Normal","18698240","18698240","255","1",,"System.Diagnostics.ProcessThreadCollection","314","2480968196096","-1522900992","False",,,,"1863680","1863680",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0468750","00:00:00.0937500","00:00:00.0468750","backgroundTaskHost","0","","True",,
"backgroundTaskHost","1","212","2203451883520","1937408","2887680","11688","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:Spotify.AppXtdk8mnjd568eshy3qjgb1wew6q74vv2f.mca",,"Microsoft Corporation","0","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2460","8",,"False","8/30/2024 8:12:34 AM",,"19884",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11688","11688","2887680","2887680","186472","186472","2887680","2887680","13983744","13983744","2203451883520","133660672","True","Normal","2887680","2887680","255","1",,"System.Diagnostics.ProcessThreadCollection","212","2203451883520","133660672","False",,,,"1937408","1937408",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00","00:00:00","00:00:00","backgroundTaskHost","0","","True",,
"bcmHostControlService","0","149","4374228992","6803456","2281472","10184",,,,,,,,,,"Process",,,"8",,,,,"3956",".",,,,"10184","10184","2281472","2281472","90272","90272","3313664","3313664","9236480","9236480","4387483648","92516352",,,"2281472","2281472",,"0",,"System.Diagnostics.ProcessThreadCollection","149","4374228992","79261696","False",,,,"6803456","6803456",,,,,,"bcmHostControlService","0","","True",,
"bcmHostStorageService","0","159","4375011328","7327744","2293760","10592",,,,,,,,,,"Process",,,"8",,,,,"3960",".",,,,"10592","10592","2293760","2293760","82040","82040","2916352","2916352","8114176","8114176","4391788544","96821248",,,"2293760","2293760",,"0",,"System.Diagnostics.ProcessThreadCollection","159","4375011328","80044032","False",,,,"7327744","7327744",,,,,,"bcmHostStorageService","0","","True",,
"bcmUshUpgradeService","0","217","4434497536","9199616","37130240","11272",,,,,,,,,,"Process",,,"8",,,,,"2528",".",,,,"11272","11272","37130240","37130240","210480","210480","37572608","37572608","44666880","44666880","4452478976","157511680",,,"37130240","37130240",,"0",,"System.Diagnostics.ProcessThreadCollection","217","4434497536","139530240","False",,,,"9199616","9199616",,,,,,"bcmUshUpgradeService","0","","True",,
"chrome","1","252","2272260767744","7667712","2326528","10600","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\cdsl\AppData\Local\Google\Chrome\User Data"" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\cdsl\AppData\Local\Google\Chrome\User Data\Crashpad"" ""--metrics-dir=C:\Users\cdsl\AppData\Local\Google\Chrome\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=128.0.6613.137 --initial-client-data=0x170,0x174,0x178,0x14c,0x17c,0x7fff123e6c28,0x7fff123e6c34,0x7fff123e6c40","System.Diagnostics.Process (chrome)","Google LLC","0.046875","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5272","8",,"False","9/11/2024 6:54:12 AM",,"2112",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","10600","10600","2326528","2326528","148904","148904","2433024","2433024","8273920","8273920","2272327671808","289972224","True","Normal","2326528","2326528","255","1",,"System.Diagnostics.ProcessThreadCollection","252","2272260767744","223068160","False",,,,"7667712","7667712",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0156250","00:00:00.0468750","00:00:00.0312500","chrome","0","","True",,
