
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     26    36.39      50.27       0.23     612   1 AccountsControlHost
      9     2.48       8.41       0.00    6564   0 AggregatorHost
     24    14.86      31.23       1.30    1400   1 ApplicationFrameHost
     17    16.96      28.01       7.47   21276   0 audiodg
     33    17.83       1.78       0.09   12336   1 backgroundTaskHost
     11     2.75       1.85       0.00   19884   1 backgroundTaskHost
     10     2.18       6.49       0.00    3956   0 bcmHostControlService
     10     2.19       6.99       0.00    3960   0 bcmHostStorageService
     11    35.41       8.77       0.00    2528   0 bcmUshUpgradeService
     10     2.22       7.31       0.05    2112   1 chrome
     22    22.12      55.76       3.44    2156   1 chrome
     23    37.41      71.39       0.58    6512   1 chrome
     30   148.83     194.34      98.28    7008   1 chrome
     16    11.66      19.06       0.58    8048   1 chrome
     23    22.52      48.59       0.44   10156   1 chrome
     18     7.87      20.02      15.48   10672   1 chrome
     48   294.33     230.77      89.11   12260   1 chrome
     24    46.26      78.50       2.42   14868   1 chrome
     43   700.12     678.85     478.95   15544   1 chrome
     43   322.70     282.09     109.44   15596   1 chrome
     25    26.07      47.30       0.75   17456   1 chrome
     32   225.70     220.69     145.28   19752   1 chrome
     77   140.42     231.71     569.92   19976   1 chrome
     19    17.04      29.01       0.08   21752   1 chrome
     22    22.46      44.75       0.20   23140   1 chrome
     39   234.50     154.29      27.86   23900   1 chrome
     45    30.71      57.31      37.03   24216   1 chrome
     31    69.41      87.34       1.80   24944   1 chrome
     29    93.03      95.52       5.27   25356   1 chrome
     36    60.16      62.45       0.12   21076   1 CHXSmartScreen
     17   114.39     126.33      50.00    2776   1 Code
     17    25.14      83.25       0.30    5524   1 Code
     17    27.70      82.74       0.22    8392   1 Code
     29   192.51     167.40      63.22    9840   1 Code
     67   291.47     275.44      76.78   10320   1 Code
     12    14.22      26.90       0.00   11468   1 Code
     20    63.64      90.76       0.72   15948   1 Code
     21    97.92      95.89      19.00   16992   1 Code
     56   105.88     109.18      43.47   17196   1 Code
     19    16.17      38.62       1.47   17760   1 Code
     40    93.99     103.05       5.36   18000   1 Code
     38   286.37     279.97     168.98   19188   1 Code
     46   139.94      61.52      51.64   23948   1 com.docker.backend
     14    30.08      26.13       4.48   19608   1 com.docker.build
     12    21.39      12.43       1.11    2672   1 com.docker.dev-envs
     19    34.14      27.45       4.56   14312   1 com.docker.extensions
     10     5.76       8.44       0.09    4956   1 conhost
     10     5.76       8.51       0.02    5404   1 conhost
     10     5.77       8.54       0.06   13172   1 conhost
     10     5.75       8.50       0.03   14188   1 conhost
      8     5.25       6.42       0.02   14264   1 conhost
     10     5.70       8.49       0.06   15628   1 conhost
      8     5.27       6.39       0.08   19324   1 conhost
     10     5.73       8.48       0.14   20900   1 conhost
      8     1.30       7.90       0.00   21604   1 conhost
     10     5.62       8.55       0.02   21856   1 conhost
      8     5.25       6.25       0.02   22656   1 conhost
      9     1.34       6.47       1.09   25092   1 conhost
     28     2.34       4.77       0.00     844   0 csrss
     39     3.36       6.70       0.00     940   1 csrss
     21    12.92      29.82     245.47   10628   1 ctfmon
     22     7.35      16.37       0.00    4412   0 dasHost
      6     0.86       4.28       0.00   11080   0 dasHost
     25     8.86      15.30       6.36    8500   1 dllhost
     18     2.86       8.43       0.05    8732   1 dllhost
      8     1.30       6.49       0.02   15576   1 dllhost
     17     2.48       7.61       0.16   16164   1 dllhost
     11    26.16      22.47       2.94   22664   1 docker
     12    11.16     164.03       0.06   15248   1 Docker Desktop
     15    14.49     165.54       0.48   19400   1 Docker Desktop
     25    98.59     185.57       3.38   20856   1 Docker Desktop
     52    75.29      65.11      23.94   22116   1 Docker Desktop
     34    86.22     191.30      15.92   24012   1 Docker Desktop
      9     1.63       5.63     231.16    1840   1 dptf_helper
     86   249.77     143.92       0.00    2508   1 dwm
      9     1.89       7.57       0.00    4276   0 esif_uf
    121   255.85     205.23      17.34    6716   1 explorer
      9     3.86       6.57       0.00    1212   1 fontdrvhost
      7     1.60       3.25       0.00    1216   0 fontdrvhost
     39    39.36      54.48       0.59   20164   1 GameBar
     13     2.86      13.69       0.20    1424   1 GameBarFTServer
     33    40.50      56.03       0.08   14908   1 HxAccounts
     39    45.41       2.05       0.08   22984   1 HxOutlook
     26     8.70      32.85       0.14   12308   1 HxTsr
      0     0.06       0.01       0.00       0   0 Idle
     11     2.52       9.13       0.00    2208   0 igfxCUIServiceN
     15     4.28      13.59       3.59    1792   1 igfxEMN
     53    36.17      28.43       0.00    4252   0 IntelAudioService
      8     1.35       5.38       0.00    1872   0 IntelCpHDCPSvc
      9     1.33       5.93       0.00    4328   0 jhi_service
     36    44.45      64.38       1.02    4752   1 LockApp
     22     2.16       3.22       0.00     920   0 LsaIso
     34    15.07      30.58       0.00    1040   0 lsass
      0     4.63     741.72       0.00    3068   0 Memory Compression
     95   124.99      88.11       2.17   15992   1 Microsoft.AAD.BrokerPlugin
     31    37.01      41.43       4.05    3348   1 Microsoft.SharePoint
     25   359.54      40.15       0.00    4416   0 mongod
     21    64.88      54.75       0.00    3496   0 MoUsoCoreWorker
     19    11.20      19.18       0.00    4368   0 MpDefenderCoreService
     42    23.98      24.62      15.08   11092   1 ms-teams
     15     7.96      20.87       0.03    2824   1 msedge
     17    13.79      27.00       0.06    9264   1 msedge
     67    65.22     144.77      18.36   10656   1 msedge
     30    78.78      55.21      10.39   17576   1 msedge
     10     2.15       7.98       0.02   19440   1 msedge
     22    55.04      55.33       3.62   19484   1 msedge
     12     7.51      16.25       0.09   21844   1 msedge
     21    12.71      34.39       0.61   24728   1 msedge
     20    20.12      43.00       0.33   24972   1 msedge
     14     7.13      17.25       0.19   25168   1 msedge
     17    13.79      27.01       0.06   25480   1 msedge
     34   175.88       4.91      64.05    6912   1 msedgewebview2
     28   218.10     132.72       9.52    8216   1 msedgewebview2
     14     7.02       1.56       0.25    8944   1 msedgewebview2
     12     7.46       4.95       0.14   11248   1 msedgewebview2
     51    34.09       6.07      19.89   15260   1 msedgewebview2
     10     2.15       7.29       0.03   16676   1 msedgewebview2
     20    10.53      18.53       1.47   16808   1 msedgewebview2
     10     2.12       7.28       0.06   17028   1 msedgewebview2
     29   212.18       0.02     198.66   17648   1 msedgewebview2
     27    69.32      13.64       0.56   19696   1 msedgewebview2
     20    11.44       1.37       5.59   21284   1 msedgewebview2
     51    34.05      51.20       5.06   24476   1 msedgewebview2
     12     9.39       0.02       1.58   24696   1 msedgewebview2
    231   403.41     279.41       0.00    4584   0 MsMpEng
     35    53.39      31.40       9.70   12732   1 msrdc
     35    52.32      30.98       9.30   16672   1 msrdc
     18     6.41      11.59       0.00    6612   0 NisSrv
     32    23.01      33.23       0.00    4184   0 OneApp.IGCC.WinService
     53    77.92      92.30       5.75   17468   1 OneDrive
     11     2.24       9.06       0.00    9468   1 OpenConsole
     14     2.82      14.13       0.03   19512   1 OpenConsole
    110    78.97     139.25       3.73   18864   1 PhoneExperienceHost
     67    35.95      73.23       0.28    7384   1 pwsh
    227   355.24     445.38      54.69   19468   1 pwsh
     22    15.86      38.46       0.00     144   0 Registry
     14     3.75      13.57       0.64    2928   1 RtkAudUService64
     15     4.87      12.20       0.00    4484   0 RtkAudUService64
     16    13.89      15.77       0.00    6756   1 RtkAudUService64
     40    18.87      59.86     113.34    4164   1 RuntimeBroker
     24     7.70      29.15      87.92    6112   1 RuntimeBroker
     22     9.93      32.80      12.95    8584   1 RuntimeBroker
     24     9.15      35.22       0.50   10136   1 RuntimeBroker
      8     1.31       6.63       0.09   11656   1 RuntimeBroker
     16    13.64      24.16       4.52   11684   1 RuntimeBroker
      9     1.91       9.67       0.14   12988   1 RuntimeBroker
     10     2.08      10.25       0.00   14204   1 RuntimeBroker
      8     1.31       6.81       0.02   17232   1 RuntimeBroker
     10     2.11      10.36       0.80   20792   1 RuntimeBroker
     17     6.38      20.67      49.89   22456   1 RuntimeBroker
     17     4.05      19.21       1.25   23628   1 RuntimeBroker
     12     2.89      15.29       0.23   25560   1 RuntimeBroker
    140   213.81     122.64      10.86    7316   1 SearchHost
     52    55.70      40.21       0.00    3984   0 SearchIndexer
      0     0.18      40.03       0.00     108   0 Secure System
     23     8.77      24.62       0.00    6648   0 SecurityHealthService
     10     2.02      10.34       0.38    9180   1 SecurityHealthSystray
     19     7.31      17.54       0.00     668   0 services
     34    47.39      65.00       0.72   23468   1 ShellExperienceHost
     29   131.39     277.48       7.00    6940   1 Signal
     15    12.83      42.39       0.66   12276   1 Signal
     67   298.88     123.78      71.98   13516   1 Signal
     41   236.92     215.07      86.72   18880   1 Signal
     16    11.97     183.78       0.28   23976   1 Signal
     27    14.18      47.32     336.00    2384   1 sihost
      4     1.11       1.01       0.00     544   0 smss
     24     6.50      19.27       0.00    3932   0 spoolsv
     10     1.88       7.41       0.00    4472   0 sqlwriter
     44    78.50     114.49       2.53   24844   1 StartMenuExperienceHost
     30    43.04      60.41       0.00    1184   0 svchost
     23    19.95      23.56       0.00    1356   0 svchost
     14     2.76       7.81       0.00    1404   0 svchost
     10     1.18       4.79       0.00    1536   0 svchost
     13     2.82       8.84       0.00    1552   0 svchost
     34     9.07       6.09       0.00    1576   0 svchost
     13     1.96       8.21       0.00    1664   0 svchost
     13     2.95       9.68       0.00    1696   0 svchost
     15     3.35      13.29       0.00    1724   0 svchost
     12     2.70       8.89       0.00    1736   0 svchost
     10     2.37       9.18       0.00    1744   0 svchost
     23    20.47      18.07       0.00    1772   0 svchost
     13     3.39       8.21       0.00    1888   0 svchost
      9     1.59       5.36       0.00    1916   0 svchost
     10     2.08       7.62       0.00    1948   0 svchost
     22     5.64      18.63       0.00    1972   0 svchost
     16     6.62       9.41       0.00    1988   0 svchost
     11     2.91       7.42       0.00    2016   0 svchost
     24     8.50      13.04       0.00    2040   0 svchost
     19     8.53      27.69      21.98    2072   1 svchost
     19     4.13       8.84       0.00    2252   0 svchost
     10     2.12       7.04       0.00    2280   0 svchost
     27    45.63      24.42       0.00    2324   0 svchost
     12     3.18      12.14       0.00    2644   0 svchost
     15    16.80      15.24       0.00    2688   0 svchost
     14     3.94      11.94       0.00    2732   0 svchost
     21     8.60      23.30       0.00    2764   0 svchost
     11     2.42       9.41       0.00    2792   0 svchost
     18     3.48      12.51       0.00    2808   0 svchost
      8     1.38       5.42       0.00    2836   0 svchost
     23    11.43      34.96      59.45    2892   1 svchost
     15     3.57      17.70       3.59    2964   1 svchost
     14     2.14       9.15       0.00    2996   0 svchost
     11     1.93       8.16       0.00    3008   0 svchost
     22     6.52      15.59       0.00    3024   0 svchost
      8     2.88       6.10       0.00    3084   0 svchost
      8     1.29       5.87       0.00    3420   0 svchost
     12     2.53      10.61       0.00    3476   0 svchost
     12     1.95       7.91       0.00    3484   0 svchost
     13    37.44      21.84       0.00    3648   0 svchost
     15     3.64      14.05       0.00    3704   0 svchost
     17     4.00      15.06       0.00    3712   0 svchost
      9     1.47       6.78       0.00    3732   0 svchost
     11     2.05       9.40       0.00    3852   0 svchost
     15     3.08      12.41       0.00    3876   0 svchost
      9     1.48       6.55       0.00    4008   0 svchost
     36    14.62      18.83       0.00    4024   0 svchost
     12     2.00       7.20       0.00    4076   0 svchost
     11     2.01       8.32       0.00    4204   0 svchost
     34    24.16      47.88       0.00    4220   0 svchost
     29     5.55      15.78       0.00    4228   0 svchost
     18     2.87       9.96       0.00    4292   0 svchost
     31    55.87      50.33       0.00    4312   0 svchost
     14     3.10       9.54       0.00    4324   0 svchost
     13     2.41       8.60       0.00    4428   0 svchost
     42     1.67       6.04       0.00    4444   0 svchost
